Country,Year,Total Agri Production,GDP(1000 USD),GDP per capita,Country_Code,No of frost days,Precipitation,Avg temperature,"Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary to tertiary, female (%)","Gross enrolment ratio, primary to tertiary, male (%)",Area,Population,Fertilizer Use Per Capita,Credit to Agriculture,FDI inflows to Agriculture,Agriculture share of Government Expenditure,Water Use Efficiency,Gini coefficient,Agri_Prod_Per_Capita
Albania,2009.0,3363759.0,12044210.39,4109.893153,ALB,4.05,126.56,12.86,72.25983,74.17418,70.48844,1201.3,2930541.0,18.779999999999998,,-13186209.0,1.65,1.29,0.29728623956409,1147.82867736708
Albania,2010.0,3587040.0,11926948.280000001,4093.825899,ALB,4.02,156.97,12.77,76.49879,78.69764,74.49205,1201.3,2913399.0,18.270000000000003,,-613208.0,1.69,1.39,0.2947257749047003,1231.2216761246914
Albania,2011.0,4056628.0,12890873.32,4444.126504,ALB,5.36,71.61,12.64,79.0329,81.55939,76.75668,1201.0,2900654.0,20.900000000000002,,80628.0,1.66,1.41,0.2921653102453106,1398.5218505895566
Albania,2012.0,4009660.0,12319779.6,4259.66718,ALB,5.19,113.45,13.06,83.18275,86.17241,80.49384,1201.3,2892193.0,19.910000000000004,,-26091.5,1.57,1.44,0.2896048455859209,1386.3735926336867
Albania,2013.0,5353833.0,12776280.74,4425.430822,ALB,4.12,115.9,13.2,87.05518,90.22035,84.20885,1188.309,2887014.0,18.84,,-132811.0,1.74,1.49,0.3177969051269101,1854.453424888137
Albania,2014.0,4909836.0,13228240.08,4586.606188,ALB,2.41,116.14,13.15,88.73256,92.07545,85.7227,1175.375,2884102.0,18.86,,-3467379.0,1.74,1.54,0.3459889646678993,1702.3794581467646
Albania,2015.0,4178049.0,11386924.85,3950.390254,ALB,4.89,95.4,13.26,87.41363,90.64685,84.4941,1175.544,2882481.0,23.020000000000003,,-11062.0,1.95,1.62,0.3275373177638622,1449.4628065198
Albania,2016.0,4292299.0,11861356.45,4117.006969,ALB,4.04,127.12,13.16,85.23001,88.91327,81.88938,1183.1,2881063.0,27.160000000000004,,-586660.0,2.95,1.7,0.3373629871613544,1489.8317044785206
Albania,2017.0,4693991.0,13019729.86,4521.752219,ALB,4.39,96.53,13.13,84.96134,89.25792,81.07743,1175.861,2879355.0,21.209999999999997,,5795235.0,2.21,1.22,0.330556627406811,1630.2230881568962
Albania,2018.0,4848728.0,15156439.969999999,5268.116609,ALB,3.49,125.68,13.73,83.89356,88.64442,79.60931,1175.731,2877013.0,14.15,,-59048.0,2.2,1.35,0.3014828173658326,1685.334060012937
Albania,2019.0,5071282.0,15401826.08,5359.239078,ALB,3.79,105.76,13.57,85.01313,90.16838,80.37304,1175.73,2873883.0,20.05,,-436595.0,2.04,1.31,0.3077173903513966,1764.6097631671157
Algeria,1991.0,7284069.0,46565003.199999996,1781.785125,DZA,0.41,6.57,22.47,61.62879,,,38622.0,26133905.0,3.5100000000000002,,7165312.0,3.89,0.32,0.3533005431139451,278.7210330794422
Algeria,1992.0,10095651.0,49105553.59,1835.838094,DZA,0.32,5.69,22.19,62.22811,,,38865.0,26748303.0,3.62,,7165312.0,3.89,0.32,0.3533005431139451,377.4314579881946
Algeria,1993.0,8479107.0,50846930.339999996,1858.825857,DZA,0.4,4.64,23.03,62.13766,,,38862.0,27354327.0,4.79,,7165312.0,3.89,0.32,0.3533005431139451,309.9731534246849
Algeria,1994.0,6150812.0,42330711.150000006,1515.220033,DZA,0.27,6.6,23.18,62.34281,,,39640.0,27937006.0,4.26,,7165312.0,3.89,0.32,0.3533005431139451,220.1671861329736
Algeria,1995.0,7269416.0,41971488.42,1473.820352,DZA,0.42,5.52,23.31,61.90309,,,39649.0,28478022.0,1.6300000000000001,,7165312.0,3.89,0.32,0.3533005431139451,255.26407697838005
Algeria,1996.0,10674748.0,46836290.5,1615.900704,DZA,0.12,7.27,23.3,62.37048,,,39636.0,28984634.0,1.31,,7165312.0,3.89,0.32,0.3468719402846471,368.28990146986155
Algeria,1999.0,9406650.0,48531031.76,1599.251928,DZA,0.44,6.2,23.83,65.65206,,,39731.0,30346083.0,3.06,,7165312.0,3.89,0.32,0.340443337455349,309.97905067352514
Algeria,2001.0,9050163.0,55056733.06,1764.583171,DZA,0.17,3.74,24.2,67.00167,,,40109.0,31200985.0,3.37,,7165312.0,3.89,0.32,0.33401473462605097,290.06016957477465
Algeria,2002.0,11144157.0,56819210.89,1796.672161,DZA,0.18,4.73,23.9,68.47373,,,39855.0,31624696.0,2.3,,7165312.0,3.75,0.34,0.3275861317967529,352.38779844713764
Algeria,2003.0,15632103.0,67863851.63000001,2117.048269,DZA,0.31,7.19,23.87,69.25699,,,39905.7,32055883.0,1.4,,7165312.0,3.77,0.41,0.32115752896745486,487.6516114062433
Algeria,2004.0,18784405.0,85332517.82,2624.793282,DZA,0.24,7.24,23.5,70.52548,70.56537,70.48716,41145.0,32510186.0,5.78,,4457883.0,3.68,0.43,0.31472892613815684,577.8006007101897
Algeria,2005.0,18974661.0,103198216.10000001,3131.328301,DZA,0.74,5.54,23.93,71.16516,71.98359,70.37901,41211.0,32956690.000000004,1.69,,30991000.0,4.0,0.38,0.30830032330885876,575.7453494267779
Algeria,2006.0,21698453.0,117027277.9,3500.134526,DZA,0.23,6.83,23.87,71.10657,71.89718,70.34727,41181.0,33435080.0,2.96,,124872276.0,4.24,0.39,0.30187172047956073,648.9726658348059
Algeria,2007.0,22766026.0,134977088.4,3971.803658,DZA,0.2,5.36,23.74,67.81475,68.99212,66.68225,41252.0,33983827.0,3.29,,36908000.0,2.19,0.43,0.29544311765026265,669.907659311001
Algeria,2009.0,36139865.0,137211008.4,3898.478922,DZA,0.1,7.31,23.81,76.96427,77.97658,75.9894,41380.0,35196037.0,3.04,,46923960.0,3.65,0.59,0.28901451482096463,1026.8163145754165
Algeria,2010.0,38395233.0,161207306.29999998,4495.921455,DZA,0.15,5.39,24.98,79.15408,80.71506,77.65034,41374.0,35856344.0,3.3,,23303000.0,2.0,0.56,0.28258591199166655,1070.8072468291803
Algeria,2011.0,44786880.0,200019103.0,5473.446128,DZA,0.19,6.87,23.8,80.86631,82.59009,79.20585,41388.0,36543541.0,3.24,,23303000.0,3.36,0.56,0.2761573091623685,1225.57581379429
Angola,2010.0,21285818.0,83799478.92999999,3586.663902,AGO,0.0,99.48,22.35,54.82558,47.98438,61.77399,44850.0,23364185.0,1.48,,,1.08,0.18,,911.0447464784241
Angola,2011.0,21654074.0,111789746.0,4608.155097,AGO,0.0,101.85,21.87,61.30225,47.10121,75.72563,45316.0,24259111.0,2.33,,,1.12,0.18,,892.61613914871
Antigua and Barbuda,2009.0,47932.0,1228329.63,14530.598694,ATG,0.0,71.14,26.13,89.39984,90.87272,87.91227,9.0,84534.0,0.63,2372963.0,,1.28,1.32,,567.014455721958
Antigua and Barbuda,2010.0,39681.0,1148700.0,13404.516016,ATG,0.0,109.38,26.79,88.92472,90.27155,87.57459,9.0,85695.0,0.15000000000000002,1795556.0,,1.28,1.33,,463.04918606686505
Antigua and Barbuda,2011.0,41422.0,1137637.037,13117.14694,ATG,0.0,106.28,26.26,86.78137,87.43567,86.12943,9.0,86729.0,0.15,1787778.0,,1.38,1.55,,477.6026473267304
Antigua and Barbuda,2012.0,40943.0,1199948.148,13686.476584,ATG,0.0,84.82,26.28,87.76225,92.74959,82.8182,9.0,87674.0,0.45,1625926.0,,1.48,1.57,,466.9913543353788
Argentina,1991.0,28459950.0,205589521.29999998,6210.082556,ARG,4.11,80.21,14.24,79.93764,,,127660.0,33105763.0,5.0600000000000005,6326146073.0,24000000.0,0.93,0.07,,859.6675448924103
Argentina,1994.0,34014551.0,279266992.4,8097.348546,ARG,3.68,68.95,14.89,78.71041,,,127948.0,34488696.0,13.399999999999999,6326146073.0,24000000.0,0.93,0.07,,986.252162157711
Argentina,1998.0,42289380.0,324135104.70000005,8945.805213,ARG,3.03,71.04,14.63,82.5936,,,128330.0,36233195.0,21.41,6326146073.0,24000000.0,0.93,0.07,,1167.1446583719708
Argentina,1999.0,36323666.0,307410162.0,8387.032494,ARG,3.87,71.18,14.33,88.12704,92.07074,84.2364,128412.0,36653031.0,22.47,6326146073.0,24000000.0,0.93,0.07,,991.0139764430396
Argentina,2000.0,38691302.0,308148233.5,8312.430528,ARG,4.21,79.84,13.87,91.26524,94.902,87.68106,128510.0,37070774.0,23.279999999999998,6326146073.0,24000000.0,0.93,0.07,,1043.7144366071234
Argentina,2001.0,39207548.0,291334718.3,7772.969216,ARG,3.75,78.42,14.55,93.34734,96.99302,89.7603,128606.0,37480493.0,23.0,5301435718.0,24000000.0,0.93,0.06,,1046.0787695615422
Argentina,2002.0,35254208.0,110583590.3,2918.925922,ARG,4.0,79.49,14.36,94.35718,98.25932,90.5251,128710.0,37885028.0,22.24,1099562775.0,24000000.0,0.73,0.11,,930.5577918538163
Argentina,2003.0,41977402.0,140444139.7,3669.040649,ARG,3.54,62.92,14.87,93.86819,98.19615,89.62665,129103.3,38278164.0,31.350000000000005,1016083350.0,24000000.0,0.58,0.12,,1096.6409465197967
Argentina,2004.0,43220730.0,165947750.39999998,4291.515836,ARG,3.52,61.5,14.84,94.22592,98.26932,90.2714,129496.6,38668796.0,36.06,1360555497.0,24000000.0,0.69,0.13,,1117.7159485389718
Argentina,2005.0,46660530.0,200622205.9,5134.876717,ARG,4.01,62.15,14.47,92.88999,97.27875,88.60596,129920.9,39070501.0,30.650000000000002,2117507661.0,24000000.0,0.56,0.14,,1194.264951964655
Argentina,2006.0,47681840.0,234391234.20000002,5937.434934,ARG,3.52,63.33,15.05,93.95252,99.20446,88.83045,130138.9,39476851.0,36.56,2752975901.0,279000000.0,0.65,0.13,,1207.8430470556023
Argentina,2007.0,65292332.0,289755142.70000005,7266.384194,ARG,4.7,65.29,14.09,94.02625,99.4977,88.69474,129968.4,39876111.0,45.0,3937336434.0,304000000.0,1.99,0.16,,1637.3796331342342
Argentina,2008.0,77085620.0,365644376.6,9078.970895,ARG,3.96,57.27,15.01,95.07755,100.83078,89.47663,127046.9,40273769.0,30.840000000000003,4707974636.0,465000000.0,3.66,0.16,,1914.0403770007222
Argentina,2009.0,50831754.0,336359389.6,8267.539946,ARG,3.98,56.62,15.09,96.60053,102.36669,90.99272,124328.4,40684338.0,19.380000000000003,4547042381.0,117000000.0,2.33,0.1,,1249.4182405032618
Argentina,2010.0,73920322.0,426487434.9,10376.792179,ARG,4.12,58.49,14.49,98.11278,103.67738,92.70738,126267.9,41100123.0,36.21,5828433756.0,422000000.0,2.49,0.15,,1798.542598035534
Argentina,2011.0,95021237.0,530158176.6999999,12768.514644,ARG,3.96,56.62,14.77,99.1762,105.54247,92.99846,125318.4,41520740.0,38.96,8412532314.0,295000000.0,1.16,0.14,,2288.52465057222
Argentina,2012.0,94746262.0,581430904.4,13859.311731,ARG,3.77,64.32,15.21,99.65553,106.02768,93.47796,124741.9,41952365.0,32.72,9338788406.0,300000000.0,0.98,0.11,,2258.424811092295
Argentina,2013.0,99435199.0,613316027.4,14469.003851,ARG,3.9,52.03,15.07,99.62271,106.21225,93.23969,122937.4,42388269.0,33.67999999999999,9939317412.0,37000000.0,0.99,0.12,,2345.8188160502614
Argentina,2014.0,93303174.0,567050145.3,13241.393384,ARG,3.36,71.74,15.0,100.59472,107.47232,93.93765,121188.9,42824054.0,32.22,7451084098.0,191000000.0,0.68,0.12,,2178.756219576969
Argentina,2015.0,110332730.0,644903200.5,14908.621297,ARG,3.43,68.42,15.13,101.77252,108.88305,94.89464,120739.4,43257065.0,24.72,8535832434.0,188000000.0,0.75,0.09,,2550.629128444105
Argentina,2016.0,101387858.0,557532317.4000001,12767.455355,ARG,3.48,67.24,14.64,103.08692,110.29586,96.11508,118989.9,43668241.0,36.919999999999995,6739650763.0,-22000000.0,0.64,0.1,,2321.7756355242245
Argentina,2017.0,103133095.0,643628396.1999999,14609.78337,ARG,3.36,68.83,15.14,103.66227,111.0414,96.52722,117640.4,44054616.0,37.65,9773981251.0,-22000000.0,0.58,0.08,,2341.0281229099805
Armenia,1997.0,886775.0,1747514.993,534.176615,ARM,13.52,68.6,6.06,80.52193,,,1332.0,3271418.0,2.45,19259504.0,200000.0,3.76,0.3,0.3621972429976161,271.0674698250117
Armenia,1998.0,1066229.0,2017852.886,622.688397,ARM,11.26,62.66,7.43,78.27215,,,1328.0,3240550.0,2.97,19259504.0,200000.0,3.76,0.3,0.3621972429976161,329.0271713135116
Armenia,1999.0,823162.0,1968057.835,613.861328,ARM,13.25,71.6,7.35,78.79715,,,1323.0,3206030.0,1.92,19259504.0,200000.0,3.76,0.3,0.3621972429976161,256.7543036091365
Armenia,2000.0,620507.0,2038534.803,643.370682,ARM,12.85,57.46,6.67,76.83943,79.5794,74.07564,1323.0,3168523.0,2.21,19259504.0,200000.0,3.76,0.3,0.35792041636180333,195.83477853877025
Armenia,2001.0,783167.0,2259108.208,721.038082,ARM,11.21,65.38,7.42,74.35656,,,1328.0,3133133.0,1.6,16930946.0,200000.0,3.76,0.4,0.3536435897259906,249.9628965639186
Armenia,2004.0,1290568.0,3814176.694,1244.127184,ARM,12.14,70.32,6.42,72.84154,,,1505.0,3065745.0,4.6899999999999995,16141319.0,4744720.0,3.74,0.35,0.3750563253607403,420.96390926185967
Armenia,2005.0,1499551.0,5225971.85,1714.981938,ARM,12.28,77.06,6.72,74.00339,,,1605.0,3047246.0,3.3799999999999994,24698367.0,9289440.0,3.74,0.4,0.3599235344377731,492.1004080405717
Armenia,2006.0,2071512.0,6808524.717999999,2249.646857,ARM,11.83,67.76,7.07,76.54928,,,1756.4,3026486.0,19.13,34122722.0,13834160.0,3.87,0.37,0.297099847661435,684.4611209171296
Armenia,2007.0,2955236.0,9817806.812,3267.817097,ARM,13.13,79.3,6.38,79.44181,81.34766,77.56627,1751.9,3004393.0,8.92,65407179.0,18378880.0,3.82,0.38,0.3122605825894329,983.6382923272687
Armenia,2008.0,3320623.0,12436664.19,4168.591758,ARM,11.27,66.16,6.8,79.32591,80.93958,77.74002,1748.8,2983421.0,8.18,119186036.0,22923600.0,3.44,0.4,0.2918814172710552,1113.025282050371
Armenia,2009.0,2300901.0,9222356.746,3111.145697,ARM,11.96,81.43,6.63,81.8806,82.9521,80.83043,1746.3,2964296.0,13.34,121605237.0,6700000.0,3.84,0.39,0.2801587740164225,776.2048729276698
Armenia,2010.0,2899661.0,9875377.779000001,3351.797591,ARM,10.1,76.17,8.82,82.57584,83.63464,81.54404,1735.0,2946293.0,10.049999999999999,140139604.0,4784000.0,4.17,0.46,0.2999258234323411,984.1726535683994
Armenia,2018.0,2602069.0,12457940.71,4391.923275,ARM,10.75,76.24,8.5,77.17207,80.13496,74.55227,2044.5,2836557.0,31.85,282036345.0,3782910.0,1.84,0.23,0.344334976829172,917.3335843418623
Armenia,2019.0,2486750.0,13619290.549999999,4828.50489,ARM,12.5,60.77,7.62,78.03961,81.36964,75.11777,2044.2,2820602.0,32.03,314887724.0,1983785.0,2.01,0.18,0.2987820712565889,881.6380332992744
Australia,1993.0,23625379.0,317308372.3,17996.663604,AUS,0.07,39.93,21.96,102.80194,102.61136,102.98397,460097.0,17631511.0,86.1,,-68001306.0,0.64,0.42,0.325819904320173,1339.9520324718624
Australia,1994.0,27289539.0,362501698.3,20358.968682,AUS,0.22,26.57,22.02,102.76538,102.64584,102.87951,469143.0,17805504.0,97.33999999999999,,48985560.0,0.64,0.42,0.325819904320173,1532.6462536528031
Australia,1995.0,27240132.0,392079508.8,21778.566382,AUS,0.12,42.14,21.72,105.9988,106.2118,105.79573,463388.0,18002999.0,104.18,,42993855.0,0.64,0.42,0.325819904320173,1513.0885692989261
Australia,1996.0,37189525.0,435592747.3,23918.100956,AUS,0.09,36.6,22.21,109.66457,110.13974,109.21123,465230.0,18211845.0,111.15,,-32867449.999999996,0.64,0.42,0.32857945460324856,2042.0514780353117
Australia,1997.0,38100512.0,437307960.59999996,23753.504738,AUS,0.21,42.27,21.9,112.75088,114.34413,111.23256,462233.0,18410250.0,119.13000000000001,,-12617079.0,0.64,0.42,0.33133900488632406,2069.527138414742
Australia,2015.0,64834909.0,1245248385.0,52276.91216,AUS,0.13,34.54,22.48,133.05758,136.31571,129.9769,365913.0,23820236.0,103.72,,8.0,0.64,0.42,0.3340985551693996,2721.8415888070967
Australia,2016.0,65063127.0,1307470805.0,54037.318654,AUS,0.07,40.54,22.4,131.17207,134.26299,128.23953,371078.0,24195701.0,110.66,,7.0,0.67,0.44,0.3368581054524752,2689.0366598595347
Australia,2017.0,76727657.0,1412242647.0,57430.803787,AUS,0.2,36.86,22.47,126.40767,129.83369,123.14851,393797.0,24590334.0,111.71,,308869064.0,0.65,0.38,0.34009786360742167,3120.236471777894
Australia,2018.0,70095263.0,1454419706.0,58225.161704,AUS,0.18,30.58,22.59,117.58541,121.41431,113.93687,378082.0,24979230.0,106.48,,-366852658.0,0.63,0.33,0.3433376217623682,2806.1418626594973
Austria,1991.0,11327474.0,173789681.0,22408.173383,AUT,12.83,100.3,5.33,78.95942,76.16751,81.63378,3036.9,7755638.0,37.230000000000004,,-18378255.0,0.93,3.15,0.3132234231243466,1460.5470239843582
Austria,1992.0,11248996.0,195071776.0,24879.014633,AUT,11.94,94.29,6.66,81.33093,78.54442,84.00154,3013.0,7840816.0,34.05,,-18378255.0,0.93,3.15,0.3132234231243466,1434.6715954053761
Austria,1993.0,10607387.0,190369885.9,24081.365121,AUT,11.64,96.27,6.16,83.17683,80.58713,85.65955,2999.0,7905278.0,33.15,,-18378255.0,0.93,3.15,0.3132234231243466,1341.8107497294845
Austria,1994.0,10322166.0,203545936.7,25650.48195,AUT,9.45,94.04,7.68,84.62535,82.24381,86.90863,2994.1,7935365.0,31.509999999999998,,-18378255.0,0.93,3.15,0.3132234231243466,1300.7802413625586
Austria,1995.0,8901755.0,241054445.0,30331.630406,AUT,11.77,107.23,6.31,85.96194,83.75235,88.07978,2981.1,7947296.0,29.82,,-18378255.0,0.93,3.15,0.3105926889369915,1120.0985844745182
Austria,1996.0,8420143.0,237264783.3,29814.471087,AUT,12.81,109.49,5.26,86.89761,85.02524,88.69103,2973.3,7958041.0,29.83,,-18378255.0,0.93,3.15,0.30644561134474957,1058.0673057602996
Austria,1997.0,7602570.0,212786266.70000002,26708.143949,AUT,12.14,102.75,6.45,87.85951,86.32055,89.33118,2964.6,7967093.0,33.06,,-18378255.0,0.93,3.15,0.3022985337525076,954.246423381778
Austria,1998.0,7361223.0,218254630.5,27364.39403,AUT,11.59,105.72,6.52,88.97074,88.00058,89.89714,2959.9,7975862.0,30.89,,14574171.0,0.93,3.15,0.3040492462696258,922.9376084992443
Austria,2007.0,12540374.0,388671495.79999995,46857.688033,AUT,9.58,106.52,7.58,93.029,,,2830.1,8294722.0,22.57,,4106001.0,0.93,3.15,0.3057999587867441,1511.8498245028586
Austria,2008.0,13081866.0,430310227.1,51712.94949,AUT,9.87,104.36,7.41,93.79578,,,2809.4,8321130.999999999,27.5,,2929652.0,0.95,3.15,0.3043738581765435,1572.1259525898586
Austria,2009.0,10642106.0,400148193.5,47962.520804,AUT,10.1,113.36,7.11,93.90262,,,2795.0,8342934.999999999,14.18,,1389192.0,0.91,2.17,0.3149623235037961,1275.5829932751485
Austria,2010.0,10918039.0,391892746.5,46861.26507,AUT,11.27,109.6,6.21,95.73573,,,2779.2,8362829.0,16.28,,1324424.0,0.87,1.93,0.3025226310416289,1305.5437340641547
Austria,2011.0,13204993.0,431120310.1,51377.670667,AUT,10.93,85.86,7.46,96.04151,,,2757.3,8391200.0,21.5,,661193.5,0.83,2.9,0.3080166870334521,1573.6715845171132
Austria,2012.0,12327732.0,409425234.2,48569.734877,AUT,10.31,107.56,7.24,96.064,,,2735.2,8429637.0,18.55,,-2037.0,0.8,3.47,0.3047631780126278,1462.4273856632262
Austria,2013.0,11932925.0,430068713.0,50718.407333,AUT,10.47,110.31,7.07,94.25645,96.59135,92.02859,2716.4,8479539.0,20.91,,-665267.5,0.81,3.85,0.3075313313570373,1407.2610551116045
Austria,2014.0,11554039.0,441996131.70000005,51719.250904,AUT,7.89,115.23,8.19,94.34408,96.63713,92.15817,2714.2,8546066.0,20.7,,-1328498.0,0.76,3.4,0.305356827886501,1351.9716557302506
Austria,2015.0,9338901.0,381817565.9,44179.46845,AUT,9.66,89.91,8.11,95.24667,97.63301,92.97459,2718.45,8642421.0,23.16,,-1110000.0,0.71,2.93,0.3053277503507727,1080.5885295335647
Austria,2016.0,9446775.0,395568644.3,45277.769463,AUT,9.99,111.42,7.55,96.58983,98.94495,94.35092,2670.17,8736487.0,21.21,,-1110000.0,0.69,2.64,0.3079707399736262,1081.301328554601
Austria,2017.0,10056054.0,417261151.8,47429.535836,AUT,10.2,103.64,7.4,97.15336,99.43515,94.99239,2654.62,8797496.0,21.299999999999997,,-1130000.0,0.7,2.95,0.2973758498114096,1143.0586612372429
Austria,2018.0,11464065.0,454991174.1,51466.603137,AUT,9.27,99.76,8.31,97.48242,99.89054,95.21032,2652.83,8840513.0,19.99,,-1180000.0,0.7,2.83,0.3084879012966293,1296.7646787013377
Azerbaijan,1994.0,1072476.0,3421911.062,437.479361,AZE,7.7,60.2,11.06,72.77729,69.99263,75.48236,4486.0,7821880.0,4.989999999999999,276467878.0,,3.47,0.18,0.3465028521572113,137.11230548154663
Azerbaijan,1995.0,1023324.0,3080802.211,390.502389,AZE,6.4,46.97,12.3,72.15582,73.68148,70.66367,4489.1,7889330.0,4.9399999999999995,276467878.0,,3.47,0.18,0.3465028521572113,129.70987396901893
Azerbaijan,1996.0,1133892.0,3176554.4899999998,399.611791,AZE,6.37,44.28,11.95,65.64284,67.05896,64.25205,4526.2,7949101.0,2.09,276467878.0,,3.47,0.18,0.3465028521572113,142.64405496923487
Azerbaijan,1997.0,1065849.0,3962337.296,495.288385,AZE,7.59,56.7,11.7,65.39068,65.80168,64.98572,4588.7,8000061.0,2.96,276467878.0,,3.47,0.18,0.3465028521572113,133.23010912041798
Azerbaijan,2018.0,6918252.0,47112479.29000001,4640.470544,AZE,4.51,49.84,13.33,76.99701,77.3374,76.69733,4779.5,10152522.0,12.530000000000001,276467878.0,,3.47,0.18,0.3465028521572113,681.4318649100194
Azerbaijan,2019.0,7846971.0,48174235.29,4707.846978,AZE,5.37,43.99,12.99,78.78777,79.58316,78.09036,4779.7,10232753.0,15.48,319645203.0,,2.87,0.19,0.3465028521572113,766.8484717651252
Bahrain,1991.0,37818.0,5197557.577,9707.530751,BHR,0.0,6.42,25.19,82.01375,84.15013,80.00897,10.0,535415.0,1.3,,,0.23,0.63,,70.6330603363746
Bahrain,1992.0,42291.0,5432210.287,9797.122093,BHR,0.0,12.31,24.76,79.86498,83.03871,76.93475,10.0,554470.0,1.26,,,0.23,0.63,,76.27283712373979
Bahrain,1993.0,45164.0,5946492.301999999,10364.166416,BHR,0.0,6.55,25.73,80.72122,84.0959,77.62027,10.0,573755.0,1.0499999999999998,,,0.23,0.63,,78.71652534618434
Bahrain,1994.0,46110.0,6410106.9799999995,10804.995803,BHR,0.0,2.21,26.03,81.10499,84.41605,78.04938,10.0,593254.0,1.02,,,0.23,0.63,,77.72387543952507
Bahrain,1995.0,40850.0,6786968.612,11072.919127,BHR,0.0,13.87,25.72,81.74523,84.46071,79.21377,10.0,612934.0,0.99,,,0.23,0.63,,66.64665363644373
Bahrain,1996.0,40630.0,7059043.163000001,11156.027225,BHR,0.0,7.3,26.44,81.92954,84.48459,79.51799,10.0,632756.0,0.96,,,0.23,0.63,,64.21116512526156
Bahrain,2017.0,89647.0,35473670.20999999,24349.836845,BHR,0.0,10.28,26.78,90.13112,95.86722,84.99619,8.11,1456834.0,0.51,,,0.23,0.63,,61.535494091983026
Bahrain,2018.0,95346.0,37801861.7,25415.750064,BHR,0.0,4.82,27.15,89.70674,94.81506,85.14754,8.9,1487340.0,0.75,,,0.22,0.63,,64.10504659324701
