Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
American Samoa,ASM,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.47286,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.01994,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.14163,28.36017,26.50299,24.77816,24.48115,..,..,..,..,..,26.96919,..,..,..,..,..,..,..,..,..,..,..,54.82558,61.30225,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.28499,..,..,..,..,..,..,..,..,..,..,..,47.98438,47.10121,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.687,..,..,..,..,..,..,..,..,..,..,..,61.77399,75.72563,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.39984,88.92472,86.78137,87.76225,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.87272,90.27155,87.43567,92.74959,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.91227,87.57459,86.12943,82.8182,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.20757,61.01319,61.84108,62.39542,63.28254,64.0106,64.17667,63.88196,64.34669,64.95016,65.69621,66.19973,67.59951,67.35549,68.11011,68.86099,..,..,70.72196,..,..,..,..,..
Arab World,ARB,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.15334,57.22758,58.38369,59.31664,60.23831,61.22325,61.59898,61.34264,62.17758,62.80741,63.62753,64.09131,65.65433,65.4639,66.3556,67.32119,..,..,69.5166,..,..,..,..,..
Arab World,ARB,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.10198,64.64853,65.16091,65.35119,66.20434,66.68493,66.64922,66.31227,66.41995,66.99732,67.67361,68.21742,69.4586,69.16261,69.78654,70.33274,..,..,71.87087,..,..,..,..,..
Argentina,ARG,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,62.22263,63.33089,63.91529,65.24866,67.20261,68.73981,69.14799,68.8322,68.09755,68.74472,69.20451,70.555,71.68497,..,74.54159,78.05348,79.13902,79.77507,..,..,..,79.93764,..,..,78.71041,..,..,..,82.5936,88.12704,91.26524,93.34734,94.35718,93.86819,94.22592,92.88999,93.95252,94.02625,95.07755,96.60053,98.11278,99.1762,99.65553,99.62271,100.59472,101.77252,103.08692,103.66227,..,..,..,..,..,..
Argentina,ARG,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,62.64516,63.63395,63.91766,65.16551,66.79625,68.61716,69.04629,68.90332,68.85047,69.10829,69.78403,71.48824,72.20169,..,75.2599,79.0613,79.76647,80.49049,..,..,..,..,..,..,..,..,..,..,..,92.07074,94.902,96.99302,98.25932,98.19615,98.26932,97.27875,99.20446,99.4977,100.83078,102.36669,103.67738,105.54247,106.02768,106.21225,107.47232,108.88305,110.29586,111.0414,..,..,..,..,..,..
Argentina,ARG,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,61.8114,63.03472,63.91297,65.33069,67.6053,68.86181,69.24916,68.76148,67.34974,68.38415,68.63089,69.62977,71.172,..,73.8272,77.0505,78.51359,79.06084,..,..,..,..,..,..,..,..,..,..,..,84.2364,87.68106,89.7603,90.5251,89.62665,90.2714,88.60596,88.83045,88.69474,89.47663,90.99272,92.70738,92.99846,93.47796,93.23969,93.93765,94.89464,96.11508,96.52722,..,..,..,..,..,..
Armenia,ARM,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.96936,74.82059,76.55333,74.7923,..,72.23948,80.52193,78.27215,78.79715,76.83943,74.35656,..,..,72.84154,74.00339,76.54928,79.44181,79.32591,81.8806,82.57584,..,..,..,..,..,..,..,77.17207,78.03961,..,..,..,..
Armenia,ARM,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.5794,..,..,..,..,..,..,81.34766,80.93958,82.9521,83.63464,..,..,..,..,..,..,..,80.13496,81.36964,..,..,..,..
Armenia,ARM,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.07564,..,..,..,..,..,..,77.56627,77.74002,80.83043,81.54404,..,..,..,..,..,..,..,74.55227,75.11777,..,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.80883,85.3565,84.1528,84.3998,82.88977,82.59404,83.68935,84.73906,87.99638,85.27254,86.48732,86.5538,83.5746,86.40076,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.59154,86.31726,85.46893,85.23982,83.16761,82.06825,83.76673,84.96545,88.69707,86.84927,88.37647,89.05981,86.4445,89.8299,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.03769,84.40412,82.84398,83.55923,82.60987,83.12627,83.61068,84.50837,87.29158,83.71143,84.64824,84.14835,80.84778,83.13396,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102.80194,102.76538,105.9988,109.66457,112.75088,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,133.05758,131.17207,126.40767,117.58541,..,..,..,..,..
Australia,AUS,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102.61136,102.64584,106.2118,110.13974,114.34413,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,136.31571,134.26299,129.83369,121.41431,..,..,..,..,..
Australia,AUS,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102.98397,102.87951,105.79573,109.21123,111.23256,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,129.9769,128.23953,123.14851,113.93687,..,..,..,..,..
Austria,AUT,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,72.7468,..,..,..,..,74.34819,..,..,..,..,72.16521,71.04066,70.88604,70.45941,71.15748,73.03039,73.59703,74.65407,75.57907,77.33177,78.95942,81.33093,83.17683,84.62535,85.96194,86.89761,87.85951,88.97074,..,..,..,..,..,..,..,..,93.029,93.79578,93.90262,95.73573,96.04151,96.064,94.25645,94.34408,95.24667,96.58983,97.15336,97.48242,..,..,..,..,..
Austria,AUT,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,69.0547,..,..,..,..,70.3689,..,..,..,..,68.53688,67.88476,67.67989,67.30425,68.57675,69.95865,70.31181,71.56001,72.84795,74.45012,76.16751,78.54442,80.58713,82.24381,83.75235,85.02524,86.32055,88.00058,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.59135,96.63713,97.63301,98.94495,99.43515,99.89054,..,..,..,..,..
Austria,AUT,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,76.29865,..,..,..,..,78.17592,..,..,..,..,75.64934,74.07144,73.96477,73.48824,73.63356,75.97524,76.74804,77.62229,78.19878,80.0945,81.63378,84.00154,85.65955,86.90863,88.07978,88.69103,89.33118,89.89714,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.02859,92.15817,92.97459,94.35092,94.99239,95.21032,..,..,..,..,..
Azerbaijan,AZE,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.15569,..,..,..,..,74.95853,..,..,75.94963,74.72609,74.92017,75.35408,74.27647,72.77729,72.15582,65.64284,65.39068,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.99701,78.78777,..,..,..,..
Azerbaijan,AZE,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.9336,73.06306,71.82821,69.99263,73.68148,67.05896,65.80168,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.3374,79.58316,..,..,..,..
Azerbaijan,AZE,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.82149,77.55425,76.63992,75.48236,70.66367,64.25205,64.98572,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.69733,78.09036,..,..,..,..
"Bahamas, The",BHS,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.77433,73.58668,71.81372,70.45086,70.9791,71.80218,73.20708,..,..,..,..,..,..,..,..,70.04294,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.07133,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.07526,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,63.88875,62.83511,62.14954,62.36408,63.46129,62.45147,61.57794,61.37334,61.92346,58.69017,60.37977,63.17792,..,..,77.32025,81.08675,78.55445,78.50379,..,..,82.01375,79.86498,80.72122,81.10499,81.74523,81.92954,..,..,79.46037,..,..,..,77.56375,..,73.67731,74.4941,..,..,..,..,78.11013,76.99791,78.4074,80.73851,88.56336,90.72165,90.13112,89.70674,91.18761,..,..,..,..
Bahrain,BHR,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,55.60098,56.67684,57.1402,58.32682,59.90476,59.48096,59.33769,59.21881,59.3726,56.84679,57.94707,60.10797,..,..,77.08606,81.85324,79.45691,80.146,..,..,84.15013,83.03871,84.0959,84.41605,84.46071,84.48459,..,..,83.25201,..,..,..,84.83001,..,82.76511,83.72619,..,..,..,..,83.57821,84.20125,85.99529,87.40567,93.83264,96.16088,95.86722,94.81506,96.78734,..,..,..,..
Bahrain,BHR,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,71.5648,68.45982,66.67717,65.98698,66.63793,65.09583,63.56642,63.28838,64.20996,60.32794,62.61297,66.01877,..,..,77.54351,80.3581,77.70381,76.965,..,..,80.00897,76.93475,77.62027,78.04938,79.21377,79.51799,..,..,75.93493,..,..,..,71.3283,..,66.12683,66.86735,..,..,..,..,73.21462,70.69522,71.76781,74.828,83.83708,85.84278,84.99619,85.14754,86.19143,..,..,..,..
Bangladesh,BGD,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,38.39034,..,..,38.54076,35.87715,..,33.95553,33.8521,32.21401,..,34.83617,34.66879,33.82403,33.49777,33.12281,37.0513,36.87833,38.24327,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.92644,53.54057,53.70194,52.46742,55.60995,..,..,..,..,..,..,..,68.21775,70.46452,..,..,..,..,..
Bangladesh,BGD,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.18556,24.32358,..,22.73291,23.0559,22.97005,..,..,25.89709,25.04846,25.32202,24.96285,30.42346,30.51386,32.26691,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.61986,54.28557,54.56142,53.53889,56.09863,..,..,..,..,..,..,..,70.39711,72.55071,..,..,..,..,..
Bangladesh,BGD,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.37872,46.97375,..,44.72917,44.21036,41.0866,..,..,43.0675,42.22981,41.32768,40.93768,43.40139,42.97996,43.97626,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.26016,52.82434,52.87388,51.43204,55.13787,..,..,..,..,..,..,..,66.1265,68.46331,..,..,..,..,..
Barbados,BRB,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,69.21204,68.5724,68.67076,65.50507,..,..,..,..,..,..,69.28365,69.32027,..,72.33461,74.46057,..,..,..,74.7502,72.46891,..,..,..,..,..,..,..,..,87.90813,88.06611,87.63894,..,..,..,..,..,95.33178,..,99.13559,96.90983,95.69402,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,69.00078,68.72479,68.83703,62.19866,..,..,..,..,..,..,69.45529,..,..,72.54119,74.03634,..,..,..,76.85334,71.77605,..,..,..,..,..,..,..,..,91.92742,93.36203,92.60003,..,..,..,..,..,102.41365,..,108.51184,105.52742,104.60564,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,69.42273,68.42105,68.50619,68.77464,..,..,..,..,..,..,69.11253,..,..,72.13033,74.87835,..,..,..,72.69667,73.14513,..,..,..,..,..,..,..,..,83.99252,82.90525,82.80132,..,..,..,..,..,88.39003,..,89.97954,88.51869,87.04824,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,80.90877,..,..,..,..,77.71893,..,..,..,77.9717,79.00091,79.58143,80.59808,81.81716,83.24563,84.44355,81.54974,82.05392,82.00044,82.03634,81.07066,79.42365,79.28466,79.06944,79.67067,81.71588,82.00165,..,..,..,..,..,..,..,..,..,..,..,..,97.51612,99.43793,101.15821,100.57047,99.81799,99.40877,99.34849,99.3515,98.37755,..,..,..,..,..
